epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,8347.57,0.85289,1.1781,1.20886,0.83569,0.45968,0.65044,0.42255,1.02522,1.22602,1.25736,0.00135994,0.00135994,0.00135994
79,8467.32,0.91063,0.81922,1.29215,0.74524,0.49194,0.63138,0.4206,0.98236,1.04227,1.2531,0.00134535,0.00134535,0.00134535
80,8588.55,0.8766,0.82007,1.27087,0.73612,0.51613,0.6634,0.42105,1.02843,1.26313,1.27014,0.00133068,0.00133068,0.00133068
81,8699.28,0.96454,0.9062,1.31151,0.74451,0.49353,0.66472,0.41957,1.00814,1.10709,1.29795,0.00131593,0.00131593,0.00131593
82,8804.77,0.91749,0.81863,1.295,0.71509,0.53226,0.65097,0.41586,1.06214,1.04228,1.3483,0.0013011,0.0013011,0.0013011
83,8914.17,0.86944,0.79122,1.25256,0.70576,0.56099,0.66949,0.43526,1.03024,0.86605,1.31858,0.0012862,0.0012862,0.0012862
84,9024.38,0.93414,0.84393,1.29065,0.73259,0.53226,0.67441,0.43635,1.02677,1.07589,1.33205,0.00127123,0.00127123,0.00127123
85,9128.74,0.88606,0.84048,1.28653,0.65433,0.54839,0.65957,0.42681,0.99951,0.89849,1.28714,0.0012562,0.0012562,0.0012562
86,9241.37,0.87316,0.79004,1.2511,0.71289,0.55645,0.67524,0.43635,1.00189,1.04262,1.29464,0.00124111,0.00124111,0.00124111
87,9341.71,0.90109,0.80504,1.30461,0.74545,0.54032,0.66279,0.41916,1.0098,1.09803,1.28552,0.00122596,0.00122596,0.00122596
88,9427.6,0.89365,0.8085,1.28909,0.65476,0.58065,0.69479,0.43917,1.00073,0.99055,1.32124,0.00121076,0.00121076,0.00121076
89,9526.68,0.88205,0.8306,1.26605,0.74411,0.49248,0.66008,0.41552,0.97967,0.91556,1.28373,0.00119551,0.00119551,0.00119551
90,9629.72,0.88617,0.80414,1.2601,0.66363,0.44355,0.60141,0.39732,1.01338,1.01388,1.29392,0.00118021,0.00118021,0.00118021
91,9732.98,0.92261,0.86075,1.28732,0.78502,0.48387,0.63351,0.39813,1.01269,1.13261,1.30013,0.00116487,0.00116487,0.00116487
